Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
21,08/11/2021,Juan Manuel Moreno Bonilla,1,Presidente,Partido Popular,Junta De Andalucía,"69.243,84","5.770,32","5.770,32",,,01/05/1970
22,08/11/2021,Alberto Núñez Feijoo,1,Presidente,Partido Popular,Xunta De Galicia,"84.894,26","6.063,88","78.089,88",,,10/09/1961
23,08/11/2021,Jordi Sevilla Segura,0,Presidente,PSOE,Red Eléctrica De España,"546.000,00",,,,,19/03/1956
24,08/11/2021,José Ignacio Goirigolzarri,1,Presidente,Sin partido,Bankia,"606.000,00","43.285,71",,,,
25,08/11/2021,Pablo Iglesias Turrión,0,Vicepresidente y ministro de Derechos Sociales y Agenda 2030,Podemos,Gobierno De España,"79.746,24",,,,,17/10/1978
26,08/11/2021,Irene María Montero Gil,1,Ministra de Igualdad,Podemos,Gobierno De España,"74.858,16","6.238,18",,,,13/02/1988
27,08/11/2021,Alberto Garzón Espinosa,1,Ministro de Consumo,Izquierda Unida,Gobierno De España,"74.858,16","6.238,18",,,,09/10/1985
28,08/11/2021,Miquel Iceta I Llorens,1,Ministro de Cultura y Deporte,PSOE,Gobierno De España,"74.858,16","6.238,18",,,,17/08/1960
29,08/11/2021,Ada Colau Ballano,1,Alcaldesa Del Ayuntamiento De Barcelona,Barcelona en Comú,Ayuntamiento De Barcelona,"100.000,00","7.142,86",,,,03/03/1974
30,08/11/2021,Miguel Ángel Revilla Roiz,1,Presidente,Partido Regionalista de Cantabria,Gobierno De Cantabria,"76.567,54","4.559,88","4.559,88","1.102,44",,23/01/1943
31,08/11/2021,Francisco Camps Ortiz,1,Vocal,Sin partido,Consell Juridic Consultiu Comunitat Valenciana,"75.790,32","5.413,59",,,,28/08/1962
32,08/11/2021,Joan Ribó Canut,1,Alcalde Del Ayuntamiento De Valencia,Compromís,Ayuntamiento De Valencia,"87.137,82","6.224,13",,,,
33,08/11/2021,Pío García-Escudero Márquez,1,Senador,Partido Popular,Senado,"115.853,92","8.275,28","3.050,66","4.290,84","933,78",28/10/1952
34,08/11/2021,Íñigo Errejón Galván,1,Diputado,Más Madrid,Congreso De Los Diputados,"109.199,86","7.799,99","3.050,62","3.814,00","935,37",14/12/1983
35,08/11/2021,Iñigo Urkullu Renteria,1,LEHENDAKARI,PNV,Gobierno Vasco,"106.778,14","7.627,01",,,,18/09/1961
36,08/11/2021,Cristina Macazaga Sáenz,0,Diputada,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"83.977,18",,,,,
37,08/11/2021,Lander Martínez Hierro,0,Diputado,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"83.977,18",,,,,06/11/1989
38,08/11/2021,Íñigo Martínez Zatón,1,Diputado,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
39,08/11/2021,Juan Luis Uria Serrano,0,Diputado,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
40,08/11/2021,María Pilar Zabala Artano,0,Diputada,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,07/05/1968
41,08/11/2021,Eneko Andueza Lorenzo,1,Diputado,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"88.664,80","6.333,20",,,,11/06/1979
42,08/11/2021,Alexia Castelo De Sa,0,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
43,08/11/2021,Susana Corcuera Leunda,1,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
44,08/11/2021,Idoia Mendia Cueva,1,VICELEHENDAKARI SEGUNDA Y CONSEJERO DE TRABAJO Y EMPLEO,PSOE,Gobierno Vasco,"100.266,32","7.161,88",,,,27/10/1965
45,08/11/2021,José Antonio Pastor Garrido,1,Diputado,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,03/08/1959
46,08/11/2021,Txarli Prieto San Vicente,1,Diputado,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"88.664,80","6.333,20",,,,
47,08/11/2021,Natalia Rojo Solana,0,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
48,08/11/2021,Rafaela Romero Pozo,0,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,01/02/1972
49,08/11/2021,Gloria Sánchez Martín,1,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
50,08/11/2021,Alfonso Alonso Aranegui,0,Diputada,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,14/04/1967
51,08/11/2021,Carmelo Barrio Baroja,1,Diputado,Partido Popular + Ciudadanos,Parlamento Vasco - Eusko Legebiltzarra,"88.664,80","6.333,20",,,,
52,08/11/2021,Antonio Damborenea Basterrechea,0,Diputado,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
53,08/11/2021,Juana De Bengoechea Estrade,0,Diputada,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
54,08/11/2021,Laura Garrido Knörr,1,Diputada,Partido Popular + Ciudadanos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,25/12/1970
55,08/11/2021,Nerea Llanos Gómez,0,Diputada,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
56,08/11/2021,M.ª Del Carmen López De Ocariz López De Munain,0,Diputada,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
57,08/11/2021,Javier Ruiz De Arbulo Cerio,0,Diputado,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
58,08/11/2021,Borja Sémper Pascual,0,Diputado,Partido Popular,Parlamento Vasco - Eusko Legebiltzarra,"83.977,18",,,,,10/01/1976
59,08/11/2021,Maitane Ipiñazar,0,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"71.204,98",,,,,
60,08/11/2021,Alberto Alonso Martín,1,Diputado,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
61,08/11/2021,Gustavo Angulo García,1,Diputado,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"88.664,80","6.333,20",,,,
62,08/11/2021,Ikoitz Arrese Otegi,1,Diputado,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
63,08/11/2021,Iñaki Arriola Lopez,1,"CONSEJERO DE PLANIFICACIÓN TERRITORIAL, VIVIENDA Y TRANSPORTES",PSOE,Gobierno Vasco,"95.184,18","6.798,87",,,,07/10/1959
64,08/11/2021,María Eugenia Arrizabalaga,1,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
65,08/11/2021,Jon Andoni Atutxa Sainz,1,Diputado,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
66,08/11/2021,Itxaso Berrojalbiz Zabala,1,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
67,08/11/2021,Joseba Díez Antxustegi,1,Diputado,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
68,08/11/2021,Josu Iñaki Erkoreka Gervasio,1,VICELEHENDAKARI PRIMERO Y CONSEJERO DE SEGURIDAD,PNV,Gobierno Vasco,"175.593,74","7.161,88",,,,03/07/1960
69,08/11/2021,Itxaso Etxebarria Astondoa,1,Diputada,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
70,08/11/2021,Unai Fernández De Betoño Saenz De Lacuesta,1,Diputado,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
71,08/11/2021,Pazis García Ortega,1,Diputada,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
72,08/11/2021,María Garde Ramírez,1,Diputada,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
73,08/11/2021,José Manuel Gil Vegas,1,Diputado,Partido Popular + Ciudadanos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
74,08/11/2021,Isabel González Rodríguez,1,Diputada,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
75,08/11/2021,Luis Ignacio Gordillo Pérez,1,Diputado,Partido Popular + Ciudadanos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
76,08/11/2021,Miren Gorrotxategi Azurmendi,1,Diputada,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"88.664,80","6.333,20",,,,18/09/1967
77,08/11/2021,Maitane Ipiñazar Miranda,1,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
78,08/11/2021,Ibai Iriarte San Vicente,1,Diputado,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,01/01/1983
79,08/11/2021,Carlos Iturgaiz Angulo,1,Diputado,Partido Popular + Ciudadanos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,20/10/1965
80,08/11/2021,Muriel Larrea Laso,1,Diputada,Partido Popular + Ciudadanos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
81,08/11/2021,Nerea Lupardo Atutxa,1,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
82,08/11/2021,Lore Martínez Axpe,1,Diputada,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
83,08/11/2021,Amaia Martínez Grisaleña,1,Diputada,VOX,Parlamento Vasco - Eusko Legebiltzarra,"88.664,80","6.333,20",,,,
84,08/11/2021,Sonia Pérez Ezquerra,1,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,01/01/1976
85,08/11/2021,Ander Rodríguez Lejarza,1,Diputado,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
86,08/11/2021,Arkaitz Rodríguez Torres,1,Diputado,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,01/02/1979
87,08/11/2021,Eraitz Saez De Egilaz Ramos,1,Diputada,EH Bildu,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,06/11/1996
88,08/11/2021,María Jesús San José López,1,Diputada,PSOE,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,01/01/1966
89,08/11/2021,David Soto Rodríguez,1,Diputado,Elkarrekin Podemos,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
90,08/11/2021,Arantxa Tapia Otaegi,0,Diputado,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42",,,,,24/09/1963
91,08/11/2021,Alaitz Zabala Zarate,1,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
92,08/11/2021,Irune Zuluaga Zamalloa,1,Diputada,Partido Nacionalista Vasco,Parlamento Vasco - Eusko Legebiltzarra,"75.327,42","5.380,53",,,,
93,08/11/2021,Pedro Rivera Barrachina,0,Consejero de Presidencia,Partido Popular,Gobierno De Murcia,"71.112,66",,,,,
94,08/11/2021,José Ramón Carrasco De La Sierra,0,Director General de Seguridad Ciudadana y Emergencias,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
95,08/11/2021,Mª Pedro Reverte García,0,Secretaria General Consejería Presidencia,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
96,08/11/2021,Carmen María Sandoval Sánchez,0,Directora General de Fondos Agrarios y Desarrollo Rural,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
97,08/11/2021,Fulgencio Pérez Hernández,0,"Director General de Innovación, Producciones y Mercados Agroalimentarios",Sin partido,Gobierno De Murcia,"54.064,12",,,,,
98,08/11/2021,Joaquín Ruiz Montalván,0,Gerente Consejería Agua,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
99,08/11/2021,María Dolores Valcárcel Jiménez,1,Diputada,Partido Popular,Asamblea De Murcia,"52.661,00","3.761,50",,,,
100,08/11/2021,Francisco José González Zapater,0,"Director General de Agricultura, Ganadería, Pesca y Acuicultura",Sin partido,Gobierno De Murcia,"54.064,12",,,,,
101,08/11/2021,Luis Ricardo Navarro Candel,0,Director,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
102,08/11/2021,Miguel Ángel Del Amor Saavedra,0,"Consejero de Agua, Agricultura, Ganadería y Pesca",Sin partido,Gobierno De Murcia,"71.112,66",,,,,
103,08/11/2021,Sebastián Delgado Amaro,1,Dirección General del Agua,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
104,08/11/2021,Juan Castaño López,0,Presidente del Consejo Escolar de la Región de Murcia,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
105,08/11/2021,Adela Martínez-Cachá Martínez,0,"Consejera de Educación, Juventud y Deportes",Sin partido,Gobierno De Murcia,"71.112,66",,,,,
106,08/11/2021,Alonso Gómez López,0,Director General de Deportes,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
107,08/11/2021,Esperanza Moreno Reventós,0,Directora General de Atención a la Diversidad y Calidad Educativa,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
108,08/11/2021,Francisco Javier Sánchez López,1,Dirección General de Deportes,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
109,08/11/2021,Juana Mulero Cánovas,0,Directora General de Planificación Educativa y Recursos Humanos,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
110,08/11/2021,María Robles Mateo,0,Secretaria General Consejería de Educación,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
111,08/11/2021,Remedios Lajara Domínguez,0,Directora General de Centros Educativos,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
112,08/11/2021,Sergio López Barrancos,1,Dirección General de Evaluación Educativa y Formación Profesional,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
113,08/11/2021,Esther Marín Gómez,0,Directora General de Energía y Actividad Industrial y Minera,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
114,08/11/2021,Joaquín Gómez Gómez,1,Dirección General de Estrategia y Transformación Digital,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
115,08/11/2021,Javier Celdrán Lorente,1,"Consejero Consejería de Economía, Hacienda y Administración Digital de Presidencia y Hacienda",Partido Popular,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,
116,08/11/2021,Antonio Luengo Zapata,1,"Consejero de Agua, Agricultura, Ganadería, Pesca y Medio Ambiente",Partido Popular,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,
117,08/11/2021,Consuelo Rosauro Meseguer,0,Directora General de Medio Natural,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
118,08/11/2021,Alejandro Zamora López-Fuensalida,0,Director,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
119,08/11/2021,Juan Monzó Cabrera,0,Director General de Universidades e Investigación,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
120,08/11/2021,Francisco Abril Ruiz,1,Dirección General de Administración Local,Partido Popular,Gobierno De Murcia,"57.513,76","4.792,81",,,,
121,08/11/2021,Nuria Fuentes García-Lax,0,Directora General de Relaciones Laborales y Economía social,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
122,08/11/2021,Pilar Valero Huéscar,0,Secretaria General Consejería Empleo,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
123,08/11/2021,Alicia Barquero Sánchez,0,Directora General de Mujer,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
124,08/11/2021,Ana Guijarro Martínez,0,Directora General de Personas con Discapacidad,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
125,08/11/2021,Manuel Marcos Sánchez Cervantes,0,Secretario General Consejería de Familia,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
126,08/11/2021,Miriam Pérez Albaladejo,1,Dirección General del Mar Menor,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
127,08/11/2021,Verónica López García,1,Dirección General de Centros Educativos e Infraestructuras,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
128,08/11/2021,Patricio Valverde Espín,0,Consejero de Fomento,Sin partido,Gobierno De Murcia,"71.112,66",,,,,
129,08/11/2021,María Yolanda Muñoz Gómez,1,Secretaría General de Educación y Cultura,Sin partido,Gobierno De Murcia,"67.058,34","5.588,20",,,,
130,08/11/2021,Francisco José González Manzanera,0,Director General de Carreteras,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
131,08/11/2021,Fernando De La Cierva Carrasco,0,Consejero de Hacienda,Sin partido,Gobierno De Murcia,"71.112,66",,,,,
132,08/11/2021,Andrés Torrente Martínez,1,Secretaría General de Salud,Sin partido,Gobierno De Murcia,"67.058,34","5.588,20",,,,
133,08/11/2021,Isaac Sanz Brocal,0,Director,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
134,08/11/2021,Manuel Durán García,0,Director General de Administración Local,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
135,08/11/2021,Juan José Almela Martínez,0,"Director General de Informática, Patrimonio y Telecomunicaciones",Sin partido,Gobierno De Murcia,"54.064,12",,,,,
136,08/11/2021,María Begoña Iniesta Moreno,0,Directora General de Presupuestos y Fondos Europeos,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
137,08/11/2021,Eduardo José Garro Gutiérrez,0,Interventor General de la Comunidad,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
138,08/11/2021,Luis Alfonso Martínez Atienza,0,Secretario General Consejería de Hacienda,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
139,08/11/2021,Carmen María Zamora Párraga,1,Dirección General de Función Pública,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
140,08/11/2021,José Ramón Díez De Revenga Albacete,1,Consejero de Fomento e Infraestructuras,Partido Popular,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,
141,08/11/2021,José Antonio Fernández Lladó,1,Dirección General de Carreteras,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
142,08/11/2021,Manuel Pleguezuelo Alonso,0,"Director General de Unión Europea, Acción Exterior y Cooperación",Sin partido,Gobierno De Murcia,"54.064,12",,,,,
143,08/11/2021,Joaquín Rocamora Manteca,1,Dirección de los Servicios Jurídicos,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
144,08/11/2021,Asensio López Santiago,0,Director Gerente,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
145,08/11/2021,José Carlos Vicente López,0,Director General de Salud Pública y Adicciones,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
146,08/11/2021,Manuel Villegas García,0,Consejero de Salud,Sin partido,Gobierno De Murcia,"71.112,66",,,,,
147,08/11/2021,María Teresa Martínez Ros,0,"Directora General de Planificación, Investigación, Farmacia y Atención al Ciudadano",Sin partido,Gobierno De Murcia,"54.064,12",,,,,
148,08/11/2021,Miguel Ángel Miralles González-Conde,0,Secretario General Consejería de Salud,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
149,08/11/2021,Pablo Alarcón Sabater,0,Director General de Recursos Humanos,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
150,08/11/2021,Roque Martínez Escandell,0,Director General de Asistencia Sanitaria,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
151,08/11/2021,Enrique Ujaldón Benítez,1,Secretaría General de Fomento e Infraestructuras,Sin partido,Gobierno De Murcia,"67.058,34","5.588,20",,,,
152,08/11/2021,Juan Miguel Aguado Terrón,0,Director General,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
153,08/11/2021,Miriam Guardiola Salmerón,0,Consejera de Turismo y Cultura,Sin partido,Gobierno De Murcia,"71.112,66",,,,,
154,08/11/2021,Manuel Fernández-Delgado Tomás,0,Director,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
155,08/11/2021,Marta López-Briones Pérez-Pedrero,0,Directora General,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
156,08/11/2021,Juan Antonio Lorca Sánchez,0,Director General de Bienes Culturales,Sin partido,Gobierno De Murcia,"54.064,12",,,,,
157,08/11/2021,María Casajús Galvache,0,Secretaria General Consejería de Turismo,Sin partido,Gobierno De Murcia,"63.036,24",,,,,
158,08/11/2021,Fernando López Miras,1,Presidente,Partido Popular,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,04/10/1983
159,08/11/2021,Isabel Franco Sánchez,1,"Consejera de Mujer, Igualdad, LGTBI, Familias y Política Social",Ciudadanos,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,
160,08/11/2021,Antonio Sánchez Lorente,1,"Consejero de Transparencia, Participación y Administración Pública",Ciudadanos,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,
161,08/11/2021,Raúl Nortes Ortín,1,Dirección General de Familias y Protección de Menores,Ciudadanos,Gobierno De Murcia,"57.513,76","4.792,81",,,,
162,08/11/2021,María Josefa García Méndez,1,Dirección General de Mujer y Diversidad de Género,Ciudadanos,Gobierno De Murcia,"57.513,76","4.792,81",,,,
163,08/11/2021,María Lucía Hernández Martínez,1,Dirección General de Servicios Sociales y Relaciones con el Tercer Sector,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
164,08/11/2021,José López Mellado,0,Dirección General de Servicios Sociales y Relaciones con el Tercer Sector,Ciudadanos,Gobierno De Murcia,"57.513,76",,,,,
165,08/11/2021,María Pedro Reverte García,1,Secretaría General de Presidencia y Hacienda,Sin partido,Gobierno De Murcia,"67.058,34","5.588,20",,,,
166,08/11/2021,Pedro Soto Acosta,1,Dirección General de Presupuestos y Fondos Europeos,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
167,08/11/2021,Javier Martínez Gilabert,1,Dirección General de Informática Corporativa,Partido Popular,Gobierno De Murcia,"57.513,76","4.792,81",,,,
168,08/11/2021,María Del Valle Miguélez Santiago,1,"Consejera de Empresa, Industria y Portavocía",Ciudadanos,Gobierno De Murcia,"75.670,00","6.305,83","67.116,36","8.553,64",,
169,08/11/2021,Ana Martínez Vidal,1,Diputada,Ciudadanos,Asamblea De Murcia,"52.661,00","3.761,50",,,,31/10/1978
170,08/11/2021,Antonio Zamora Medina,1,"Secretaría General de Empresa, Industria y Portavocía",Sin partido,Gobierno De Murcia,"67.058,34","5.588,20",,,,
171,08/11/2021,Eduardo Piné Cáceres,1,Dirección General de Energía y Actividad Industrial y Minera,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
172,08/11/2021,Carolina Espinosa Gallego,1,"Dirección General de Comercio, Consumo y Artesanía",Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
173,08/11/2021,Juan José Martínez Lozano,1,Dirección General de Unión Europea,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
174,08/11/2021,María José Ros Olivo,1,Dirección General de Comercio e Innovación Empresarial,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
175,08/11/2021,María Cristina Sánchez López,0,"Consejera de Turismo, Juventud y Deportes",Partido Popular,Gobierno De Murcia,"75.670,00",,,,,
176,08/11/2021,Antonio Alfonso Cutillas Navarro,1,"Secretaría General de Turismo, Juventud y Deportes",Sin partido,Gobierno De Murcia,"67.058,34","5.588,20",,,,
177,08/11/2021,Nélida María Esther Jiménez Molina,0,"Secretaría General de Turismo, Juventud y Deportes",Sin partido,Gobierno De Murcia,"68.048,56",,,,,
178,08/11/2021,María Esther Tenza Pérez,1,Dirección General de Competitividad y Calidad Turísticas,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
179,08/11/2021,Raúl Puche Martínez,1,Dirección General de Juventud,Sin partido,Gobierno De Murcia,"57.513,76","4.792,81",,,,
